Item,Designator,Value/MPN,Package,Manufacturer,LCSC_Part_Number,Quantity,Description
1,U6,RP2350B,QFN-80,Raspberry Pi,SC1409,1,Dual ARM Cortex-M33 MCU 520KB SRAM
2,U7,W25Q128JVSIQ,SOIC-8-208mil,Winbond,C97521,1,16MB QSPI NOR Flash
3,U8,ESP32-C6-MINI-1-N4,SMD Module,Espressif,C5248554,1,Wi-Fi 6 + BLE 5 + Thread Module
4,U5,SST39VF040-70-4C-WHE,TSOP-32,Microchip,C129525,1,4Mbit Parallel NOR Flash Boot ROM
5,"U2,U3",74LVC541APW,TSSOP-20,Nexperia,C5975,2,Octal 5V to 3.3V Bus Buffer
6,U4,SN74LVC8T245PWR,TSSOP-24,Texas Instruments,C6207,1,8-bit Bidirectional 5V-3.3V Transceiver
7,U1,PIC12F629-I/SN,SOIC-8,Microchip,C20967,1,SuperCIC Universal Lockout Bypass
8,U9,SY8089AAAC,SOT-23-5,Silergy,C28674,1,Synchronous Buck Converter 5V to 3.3V 2A
9,U10,DS3231MZ+,SOIC-8,Maxim / ADI,C16719,1,High Precision RTC with internal MEMS
10,U11,SP3485CN-L/TR,SOIC-8,MaxLinear,C6960,1,3.3V RS-485 Transceiver
11,"D1,D2",USBLC6-2SC6,SOT-23-6,STMicroelectronics,C7519,2,TVS Diode ESD Array
12,D3,WS2812B-2020,SMD-2020,Worldsemi,C2890040,1,Addressable RGB Status LED
13,D4,SS34,SMA,MDD,C46104,1,Schottky Diode 3A 40V Reverse Protection
14,F1,1206L150PR,1206,Littelfuse,C70267,1,PTC Resettable Fuse 1.5A
15,J1,TYPE-C-31-M-12,SMD,Korean Hroparts,C165948,1,USB-C 16-pin Receptacle
16,J4,TF-01A,SMD,Korean Hroparts,C91145,1,Push-Pull MicroSD Card Socket
17,J5,KF2EDG-3.5-3P,3.5mm Pitch,Cixi Gaojie,C8389,1,3-Pin Screw Terminal Block
18,J6,JST SH 1.0mm 4P,SMD,JST,C145920,1,Qwiic / STEMMA QT I2C Connector
19,BT1,CR1220 Holder,SMD,MYOMY,C70377,1,CR1220 Coin Cell Battery Clip
20,"SW1,SW2,SW3,SW4",TS-1187A-C-A-B,SMD 3x4mm,Korean Hroparts,C318884,4,Tactile Switch Push Button
21,Y1,12.000MHz 3225,SMD 3225,Yangxing Tech,C16280,1,Crystal 12MHz 10ppm 18pF
22,L1,2.2uH 3A,SMD 0805/CD32,Sunlord,C144887,1,Power Inductor for Buck Converter
23,"C1,C2",47uF 10V,SMD 1206,AVX,C13063,2,Bulk Filter Capacitors
24,"C3,C4",22uF 10V X7R,SMD 0805,Murata,C15849,2,Ceramic Filter Capacitors
25,"C5-C16",100nF 16V X7R,SMD 0402,Murata,C14663,12,Decoupling Capacitors
26,"C17,C18",15pF 50V C0G,SMD 0402,Murata,C1554,2,Crystal Load Capacitors
27,R1,100k 1%,SMD 0402,Uniroyal,C25744,1,Buck Feedback Upper Resistor
28,R2,22k 1%,SMD 0402,Uniroyal,C25765,1,Buck Feedback Lower Resistor
29,"R3,R4",5.1k 1%,SMD 0402,Uniroyal,C25905,2,USB-C CC Pulldown Resistors
30,"R5,R6",27R 1%,SMD 0402,Uniroyal,C25114,2,USB D+/D- Damping Resistors
31,"R7-R14",10k 5%,SMD 0402,Uniroyal,C25804,8,General Pullup Resistors
32,"R15,R16",4.7k 5%,SMD 0402,Uniroyal,C25900,2,I2C Pullup Resistors
33,R17,120R 1%,SMD 0603,Uniroyal,C22787,1,RS-485 Bus Termination Resistor
